"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"SR215C104KAA","AVX Corporation","478-2472-ND",".1uF","C1,C13,C2,C4,C5,C6,C7,C8","Bulk","Active","8","0.20000","$1.60","18367","13 Weeks","CAP CER 0.1UF 50V X7R RADIAL","RoHS Compliant","Lead free","REACH Unaffected",""
"PDB181-E420K-104B","Bourns Inc.","PDB181-E420K-104B-ND","100K","R22,R6","Bulk","Active","2","1.26000","$2.52","533","18 Weeks","POT 100K OHM 1/5W CARBON LINEAR","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"PDB181-K220K-104B","Bourns Inc.","PDB181-K220K-104B-ND","100K","R5","Bulk","Active","1","1.38000","$1.38","806","18 Weeks","POT 100K OHM 1/5W CARBON LINEAR","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"MRS25000C1003FRP00","Vishay BC Components","PPC100KZCT-ND","100K","R18,R2,R3,R4,R7,R8","Cut Tape (CT)","Active","6","0.29000","$1.74","15944","16 Weeks","RES 100K OHM 0.6W 1% AXIAL","RoHS Compliant","Lead free","Not Available",""
"R82DC3100DQ50J","KEMET","399-5444-1-ND","100nF","C15,C17,C18","Cut Tape (CT)","Active","3","0.31000","$0.93","187533","Not Available","CAP FILM 0.1UF 5% 63VDC RADIAL","RoHS Compliant","Lead free","REACH Unaffected",""
"25ML100MEFC8X7","Rubycon","1189-3982-ND","100uF","C10,C19,C9","Bulk","Active","3","0.31000","$0.93","862","17 Weeks","CAP ALUM 100UF 20% 25V RADIAL","RoHS Compliant","Lead free","REACH Unaffected",""
"CF14JT10K0","Stackpole Electronics Inc","CF14JT10K0CT-ND","10K","R1","Cut Tape (CT)","Active","1","0.10000","$0.10","1609170","15 Weeks","RES 10K OHM 1/4W 5% AXIAL","RoHS Compliant","Lead free","REACH Unaffected","Tariff Applied"
"MRS25000C1403FCT00","Vishay BC Components","BC3995CT-ND","140K","R12","Cut Tape (CT)","Active","1","0.29000","$0.29","4539","16 Weeks","RES 140K OHM 0.6W 1% AXIAL","RoHS Compliant","Lead free","Not Available",""
"MRS25000C1582FCT00","Vishay BC Components","BC4574CT-ND","15.8K","R13","Cut Tape (CT)","Active","1","0.29000","$0.29","3672","16 Weeks","RES 15.8K OHM 1% 0.6W AXIAL","RoHS Compliant","Lead free","Not Available",""
"MRS25000C1782FCT00","Vishay BC Components","BC4022CT-ND","17.8K","R11","Cut Tape (CT)","Active","1","0.29000","$0.29","14798","16 Weeks","RES 17.8K OHM 0.6W 1% AXIAL","RoHS Compliant","Lead free","Not Available",""
