Reference,Quantity,Name,Digi-Key Part
"C1,C13,C2,C4,C5,C6,C7,C8",8,.1uF,478-2472-ND
"R22,R6",2,100K,PDB181-E420K-104B-ND
R5,1,100K,PDB181-K220K-104B-ND
"R18,R2,R3,R4,R7,R8",6,100K,PPC100KZCT-ND
"C15,C17,C18",3,100nF,399-5444-1-ND
"C10,C19,C9",3,100uF,1189-4176-ND
R1,1,10K,CF14JT10K0CT-ND
R12,1,140K,BC3995CT-ND
R13,1,15.8K,BC4574CT-ND
R11,1,17.8K,BC4022CT-ND
"R10,R20,R21,R23,R25,R28,R9",7,1K,CF14JT1K00CT-ND
R30,1,1M,PDB181-E420K-105B-ND
"R17,R19",2,1M,BC3958CT-ND
"D10,D11,D12,D13,D7,D8,D9",7,1N4148,1N4148-TPMSCT-ND
"C14,C16",2,1uF,399-11518-ND
"H2,H3,H4",3,3x1_HDR,732-5316-ND
D5,1,4.7V,1N5230BFSCT-ND
"R14,R24,R26,R27,R29",5,470,CF14JT470RCT-ND
U4,1,74HC14,296-12786-5-ND
H1,1,8x2_HDR,S9171-ND
D2,1,BLUE,VAOL-3LSBY2-ND
"J1,J2,J3,J4,J5",5,EURO_JACK,486-3418-ND
D15,1,Green,732-5008-ND
U5,1,HC74,296-1602-5-ND
"MH1,MH2,MH3,MH4",4,Hole,
"JMP1,JMP2,JMP3",3,JUMPER,S9337-ND
"KN1,KN2,KN3,KN4",4,Knob,1722-1239-ND
U6,1,LM78L05,LM78L05ACZNS/NOPB-ND
U3,1,LM79L05,296-9603-5-ND
"N1,N2,N3,N4",4,Nut,36-4687-ND
D1,1,RED,732-5005-ND
D6,1,SB120,SB120FSCT-ND
"SC1,SC2,SC3,SC4",4,SCREW,36-29331-ND
"SO1,SO2,SO3,SO4",4,Standoff,732-13055-ND
"SO5,SO6,SO7,SO8,SO9",5,Standoff,RPC4262-ND
Q1,1,TEPT4400,751-1057-ND
"U1,U2",2,TL074,296-7200-5-ND
"TP1,TP2",2,TP,5006K-ND
D14,1,Yellow,732-5010-ND
"Q2,Q3",2,ZVN4206A,ZVN4206A-ND
